brand,product_name,parent_category,child_category,price,materials
C&A,Long blazer- regular fit,Businesswear,Business-Casual,"39,99 €",['74% Polyester | 23% Viscose | 3% Elastane']
C&A,Long blazer- regular fit,Businesswear,Business-Casual,"39,99 €",['74% Polyester | 23% Viscose | 3% Elastane']
C&A,Long blazer- regular fit,Businesswear,Business-Casual,"39,99 €",['74% Polyester | 23% Viscose | 3% Elastane']
C&A,Business blazer - fitted,Jackets,Blazer,"35,99 €",['77% Polyester | 19% Viscose | 4% Elastane']
C&A,Business blazer - fitted,Jackets,Blazer,"35,99 €",['77% Polyester | 19% Viscose | 4% Elastane']
C&A,Denim shirt dress,Dresses & Jumpsuits,Casual dresses,"35,99 €","['Main part: 100% Cotton', 'Belt: 100% Cotton']"
C&A,Cardigan with belt,Jumpers & Cardigans,Cardigans,"39,99 €","['78% Polyester | 16% Viscose | 6% Wool', '100% Polyurethane']"
C&A,Cropped denim jacket,Jackets,Lightweight jackets,"39,99 €","['Main part: 100% Cotton', 'Sleeve: 100% Cotton']"
C&A,Barrel jeans - high waist,Jeans,Boyfriend jeans,"39,99 €",['76% Cotton | 24% Viscose']
C&A,Trench coat,Jackets,Coats,"49,99 €","['Main part: 100% Polyester', 'Sleeve: 100% Polyester', 'Belt: 100% Polyester']"
C&A,Blazer,Jackets,Blazer,"49,99 €","['Body: 66% Polyester | 28% Viscose | 6% Elastane', 'Sleeve: 66% Polyester | 28% Viscose | 6% Elastane']"
C&A,Basic leggings,Trousers,Leggings,"9,99 €",['95% Cotton | 5% Elastane']
C&A,T-shirt - slim fit,T-Shirts & Tops,T-Shirts,"7,99 €",['95% Cotton | 5% Elastane']
C&A,Basic long sleeve top - slim fit,T-Shirts & Tops,Long-sleeved t-shirts,"9,99 €",['95% Cotton | 5% Elastane']
C&A,Long blazer - regular fit - textured,Businesswear,Business-Casual,"59,99 €",['68% Polyester | 31% Viscose | 1% Elastane']
C&A,Blazer,Jackets,Blazer,"59,99 €",['69% Polyester | 29% Viscose | 2% Elastane']
C&A,Basic sweatshirt,Jumpers & Cardigans,Sweatshirts & Sweat jackets,"17,99 €",['80% Cotton | 20% Polyester']
C&A,Basic sweatshirt,Jumpers & Cardigans,Sweatshirts & Sweat jackets,"17,99 €",['80% Cotton | 20% Polyester']
C&A,Basic sweatshirt,Jumpers & Cardigans,Sweatshirts & Sweat jackets,"17,99 €",['80% Cotton | 20% Polyester']
C&A,Basic joggers,Trousers,Long trousers,"19,99 €",['80% Cotton | 20% Polyester']
C&A,Jumper - ribbed,Jumpers & Cardigans,Jumpers,"15,99 €",['72% Viscose | 28% Nylon']
C&A,Multipack of 2 - basic long sleeve top,T-Shirts & Tops,Long-sleeved t-shirts,"19,99 €",['95% Cotton | 5% Elastane']
C&A,Cashmere jumper,Jumpers & Cardigans,Jumpers,"79,99 €",['100% Cashmere']
C&A,Satin blouse - floral,Blouses,Blouses,"19,99 €",['100% Polyester']
C&A,Basic jersey trousers - mid-rise waist - straight fit,Trousers,Long trousers,"25,99 €",['53% Modal | 32% Polyester | 15% Elastane']
C&A,Fit & flare dress with belt - textured,Dresses & Jumpsuits,Midi dresses,"22,99 €","['99% Polyester | 1% Elastane', '99% Polyester | 1% Elastane']"
C&A,Jersey trousers - high waist - slim fit,Trousers,High waisted trousers,"25,99 €",['68% Viscose | 28% Nylon | 4% Elastane']
C&A,Business trousers - mid-rise waist - slim fit,Trousers,Long trousers,"25,99 €",['77% Polyester | 19% Viscose | 4% Elastane']
C&A,Jersey trousers - mid-rise waist - tapered fit,Trousers,Long trousers,"29,99 €",['68% Viscose | 27% Polyamide | 5% Elastane']
C&A,Cloth trousers with belt - high-rise waist - wide leg,Trousers,High waisted trousers,"35,99 €","['96% Polyester | 4% Elastane', '100% Polyurethane']"
C&A,Trench coat,Jackets,Coats,"49,99 €","['Main part: 100% Polyester', 'Sleeve: 100% Polyester', 'Belt: 100% Polyester']"
C&A,Wide leg jeans - high waist,Jeans,Petite jeans,"29,99 €",['99% Cotton | 1% Elastane']
Superdry,Athletic Tonal Oversized T-Shirt,T-Shirts,,39.95,cotton 100%
Superdry,Athletic Essentials Graphic Polo Shirt,Tops,,54.95,"elastane 3%, cotton 97%"
