brand,product_name,parent_category,child_category,materials,price,Body materials_original,Body materials_normalized
Hollister,Bow Graphic Baggy Sweatpants,Bottoms,Trousers/Chinos,"Body And Pocket Bag:60% Cotton, 40% Polyester",49.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Taylor Reversible Tube Top,Tops,Tank/Cami,"Body:96% Cotton, 4% Elastane",14.95,"[(96, 'Cotton'), (4, 'Elastane')]","[(96, 'cotton'), (4, 'elastane')]"
Hollister,Class of '26 Baggy Sweatpants,Bottoms,Trousers/Chinos,"Applique:60% Cotton, 40% Polyester / Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Oversized Class of '26 Graphic Hoodie,Tops,Hoodie/Sweatshirt,"Applique:100% Cotton / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Oversized Senior Graphic Hoodie,Tops,Hoodie/Sweatshirt,"Applique:100% Cotton / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Low-Rise Washed Black Denim Mini Skort,Bottoms,Skirt,"Body:100% Cotton / Lining:88% Polyester, 12% Elastane / Pocket Bag:80% Polyester, 20% Cotton",39.95,"[(100, 'Cotton')]","[(100, 'cotton')]"
Hollister,Class of '26 Baggy Sweatpants,Bottoms,Trousers/Chinos,"Applique:60% Cotton, 40% Polyester / Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Oversized Class of '26 Graphic Hoodie,Tops,Hoodie/Sweatshirt,"Applique:100% Cotton / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Low-Rise Denim Mini Skort,Bottoms,Skirt,"Body:100% Cotton / Lining:88% Polyester, 12% Elastane / Pocket Bag:80% Polyester, 20% Cotton",39.95,"[(100, 'Cotton')]","[(100, 'cotton')]"
Hollister,Low-Rise Medium Wash Baggy Jeans,Bottoms,Jeans,"Body:100% Cotton / Pocket Bag:80% Polyester, 20% Cotton",49.95,"[(100, 'Cotton')]","[(100, 'cotton')]"
Hollister,Class of '26 Graphic Baggy Sweatpants,Bottoms,Trousers/Chinos,"Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Low-Rise Class of '26 Denim Mini Skort,Bottoms,Skirt,"Body:100% Cotton / Lining:88% Polyester, 12% Elastane / Pocket Bag:80% Polyester, 20% Cotton",44.95,"[(100, 'Cotton')]","[(100, 'cotton')]"
Hollister,Low-Rise Dark Wash Class of '26 Embroidered Baggy Jeans,Bottoms,Jeans,"Body:100% Cotton / Pocket Bag:80% Polyester, 20% Cotton",59.95,"[(100, 'Cotton')]","[(100, 'cotton')]"
Hollister,Senior Graphic Baggy Sweatpants,Bottoms,Trousers/Chinos,"Applique:100% Cotton / Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Oversized Senior Graphic Hoodie,Tops,Hoodie/Sweatshirt,"Applique:100% Cotton / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Button-Front Mini Dress,Dresses & Jumpsuits,Dress,"Body:100% Cotton / Elastic:68% Polyester, 32% Elastodiene / Lining:100% Polyester",49.95,"[(100, 'Cotton')]","[(100, 'cotton')]"
Hollister,Button-Front Mini Dress,Dresses & Jumpsuits,Dress,"Body:100% Cotton / Elastic:68% Polyester, 32% Elastodiene / Lining:100% Polyester",49.95,"[(100, 'Cotton')]","[(100, 'cotton')]"
